ZW,Great Zimbabwe University,http://www.gzu.ac.zw/,ChIJnfZpjYjhzB4RhWYJdWol50w
ZW,Harare Institute of Technology,http://www.hit.ac.zw/,ChIJexaWrTekMRkRutmuK18GG-k
ZW,Lupane State University,http://www.lsu.ac.zw/,ChIJxWx_xXhUtR4RyNkxzxWKjFY
ZW,Midlands State University,http://www.msu.ac.zw/,ChIJuTJ9bFWUNBkRW8NIf2yp1t8
ZW,National University of Science and Technology Bulawayo,http://www.nust.ac.zw/,ChIJSWdvDmZTtR4RRz1xpN3j0QU
ZW,Reformed Church University,http://www.rcu.ac.zw/,ChIJlch5L1DnzB4Rtirimk3bFfc
ZW,Solusi University,http://www.solusi.ac.zw/,ChIJKz1mrOYytR4RchvhzRtCjsU
ZW,University of Zimbabwe,http://www.uz.ac.zw/,ChIJDwcYMWelMRkRcebZ7od3ELk
ZW,Women's University in Africa,http://www.wua.ac.zw/,ChIJATFFynylMRkRScHHaPY0zss
ZW,Zimbabwe Ezekiel Guti University,http://www.zegu.ac.zw/,ChIJ12mw8JI7MBkR1V3-4DrQ-lk
ZW,Zimbabwe Open University,http://www.zou.ac.zw/,ChIJ_yBc-_exMRkRsdAnlVddq1U
